date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:02	235/235	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Dec%202021%2009:04:01%20GMT	https://vanholtz.co/robots.txt		(from )
16:04:02	27825/27825	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/	C:/My%20Web%20Sites/Test/vanholtz.co/index.html	(from )
16:04:02	5768/5768	---M--	200	added ('OK')	image/png	etag:%225b41c13b-1688%22	https://vanholtz.co/img/social_share.png	C:/My%20Web%20Sites/Test/vanholtz.co/img/social_share.png	(from https://vanholtz.co/)
16:04:03	3998/3998	---M--	200	added ('OK')	image/png	etag:%225b38338c-f9e%22	https://vanholtz.co/img/icons/apple-touch-icon.png	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/apple-touch-icon.png	(from https://vanholtz.co/)
16:04:03	715/715	---M--	200	added ('OK')	image/png	etag:%225b38338c-2cb%22	https://vanholtz.co/img/icons/favicon-32x32.png	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/favicon-32x32.png	(from https://vanholtz.co/)
16:04:03	255/255	---M--	200	added ('OK')	image/png	etag:%225b38338c-ff%22	https://vanholtz.co/img/icons/favicon-16x16.png	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/favicon-16x16.png	(from https://vanholtz.co/)
16:04:04	460/460	---M--	200	added ('OK')	text/html	etag:%221cc-5707816bbd7eb%22	https://vanholtz.co/img/icons/site.webmanifest	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/site.html	(from https://vanholtz.co/)
16:04:04	1962/1962	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b38338c-7aa%22	https://vanholtz.co/img/icons/safari-pinned-tab.svg	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/safari-pinned-tab.svg	(from https://vanholtz.co/)
16:04:04	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225b38338c-3aee%22	https://vanholtz.co/img/icons/favicon.ico	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/favicon.ico	(from https://vanholtz.co/)
16:04:05	255/255	---M-Z	200	added ('OK')	application/xml	etag:%22ff-5707816bbd7eb-gzip%22	https://vanholtz.co/img/icons/browserconfig.xml	C:/My%20Web%20Sites/Test/vanholtz.co/img/icons/browserconfig.xml	(from https://vanholtz.co/)
16:04:05	5/5	---M--	200	added ('OK')	text/css	etag:%225f4eed74-5%22	https://p.typekit.net/p.css?s=1&k=duo3tdm&ht=tk&f=19121.19123&a=12497077&app=typekit&e=css	C:/My%20Web%20Sites/Test/p.typekit.net/pfee3.css	(from https://vanholtz.co/)
16:04:06	92370/92370	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b38338c-168d2%22	https://vanholtz.co/fonts/DrukWide-Medium-Web.eot	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Medium-Web.eot	(from https://vanholtz.co/)
16:04:06	92370/92370	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b38338c-168d2%22	https://vanholtz.co/fonts/DrukWide-Medium-Web.eot?	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Medium-Webd41d.eot	(from https://vanholtz.co/)
16:04:06	31633/31633	---M--	200	added ('OK')	application/font-woff2	etag:%225b38338c-7b91%22	https://vanholtz.co/fonts/DrukWide-Medium-Web.woff2	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Medium-Web.woff2	(from https://vanholtz.co/)
16:04:06	41449/41449	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b38338c-a1e9%22	https://vanholtz.co/fonts/DrukWide-Medium-Web.woff	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Medium-Web.woff	(from https://vanholtz.co/)
16:04:07	90970/90970	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b41c13b-1635a%22	https://vanholtz.co/fonts/DrukWide-Super-Web.eot	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Super-Web.eot	(from https://vanholtz.co/)
16:04:07	90970/90970	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b41c13b-1635a%22	https://vanholtz.co/fonts/DrukWide-Super-Web.eot?	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Super-Webd41d.eot	(from https://vanholtz.co/)
16:04:07	31861/31861	---M--	200	added ('OK')	application/font-woff2	etag:%225b41c13b-7c75%22	https://vanholtz.co/fonts/DrukWide-Super-Web.woff2	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Super-Web.woff2	(from https://vanholtz.co/)
16:04:07	41532/41532	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225b41c13b-a23c%22	https://vanholtz.co/fonts/DrukWide-Super-Web.woff	C:/My%20Web%20Sites/Test/vanholtz.co/fonts/DrukWide-Super-Web.woff	(from https://vanholtz.co/)
16:04:08	20145/20145	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/journal/	C:/My%20Web%20Sites/Test/vanholtz.co/journal/index.html	(from https://vanholtz.co/)
16:04:08	34030/34030	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/studiomega/	C:/My%20Web%20Sites/Test/vanholtz.co/work/studiomega/index.html	(from https://vanholtz.co/)
16:04:08	13135/13135	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d72-334f%22	https://cdnjs.cloudflare.com/ajax/libs/barba.js/1.0.0/barba.min.js	C:/My%20Web%20Sites/Test/cdnjs.cloudflare.com/ajax/libs/barba.js/1.0.0/barba.min.js	(from https://vanholtz.co/)
16:04:08	32534/32534	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/thebrigade/	C:/My%20Web%20Sites/Test/vanholtz.co/work/thebrigade/index.html	(from https://vanholtz.co/)
16:04:09	33907/33907	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/push/	C:/My%20Web%20Sites/Test/vanholtz.co/work/push/index.html	(from https://vanholtz.co/)
16:04:09	104122/104122	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bf5149e-196ba%22	https://vanholtz.co/js/app.js?v=1.1.0	C:/My%20Web%20Sites/Test/vanholtz.co/js/app9f1e.js	(from https://vanholtz.co/)
16:04:09	31504/31504	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/onxmaps/	C:/My%20Web%20Sites/Test/vanholtz.co/work/onxmaps/index.html	(from https://vanholtz.co/)
16:04:09	1920/1920	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Dec%202021%2009:04:08%20GMT	https://use.typekit.net/duo3tdm.css	C:/My%20Web%20Sites/Test/use.typekit.net/duo3tdm.css	(from https://vanholtz.co/)
16:04:09	35240/35240	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/iconmotosports/	C:/My%20Web%20Sites/Test/vanholtz.co/work/iconmotosports/index.html	(from https://vanholtz.co/)
16:04:10	33828/33828	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/parliament/	C:/My%20Web%20Sites/Test/vanholtz.co/work/parliament/index.html	(from https://vanholtz.co/)
16:04:10	76842/76842	---MCZ	200	added ('OK')	text/css	etag:W/%225c653c37-12c2a%22	https://vanholtz.co/css/app.css?v=1.1.0	C:/My%20Web%20Sites/Test/vanholtz.co/css/app9f1e.css	(from https://vanholtz.co/)
16:04:10	30630/30630	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/haydenshapes/	C:/My%20Web%20Sites/Test/vanholtz.co/work/haydenshapes/index.html	(from https://vanholtz.co/)
16:04:10	30031/30031	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/work/zervice/	C:/My%20Web%20Sites/Test/vanholtz.co/work/zervice/index.html	(from https://vanholtz.co/)
16:04:10	33841/33841	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Feb%202019%2005:58:25%20GMT	https://vanholtz.co/journal/collaboration/	C:/My%20Web%20Sites/Test/vanholtz.co/journal/collaboration/index.html	(from https://vanholtz.co/journal/)
